birthplace,filename,native_language,sex,country,native_language_num,target_frequency,target,target_lbl
"ho chi minh city, vietnam",vietnamese6.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"cam ranh, vietnam",vietnamese5.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"long xuyen, vietnam",vietnamese16.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"vinh long, vietnam",vietnamese3.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"hanoi, vietnam",vietnamese4.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"ho chi minh city, vietnam",vietnamese2.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"ho chi minh city, vietnam",vietnamese19.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"hanoi, vietnam",vietnamese21.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"haiphong, vietnam",vietnamese20.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"ninh binh, vietnam",vietnamese8.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"tehran, iran",farsi6.mp3,farsi,male,iran,45,23,7,farsi
"tehran, iran",farsi7.mp3,farsi,male,iran,45,23,7,farsi
"tehran, iran",farsi19.mp3,farsi,female,iran,45,23,7,farsi
"tehran, iran",farsi18.mp3,farsi,female,iran,45,23,7,farsi
"tehran, iran",farsi9.mp3,farsi,male,iran,45,23,7,farsi
"hong kong, china",cantonese18.mp3,cantonese,male,china,23,23,4,cantonese
"hong kong, china",cantonese17.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese16.mp3,cantonese,female,china,23,23,4,cantonese
"qingyuan, guangdong, china",cantonese15.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese14.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese13.mp3,cantonese,female,china,23,23,4,cantonese
"macau, china",cantonese12.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese1.mp3,cantonese,female,china,23,23,4,cantonese
"xiamen, fujian, china",cantonese10.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese11.mp3,cantonese,female,china,23,23,4,cantonese
"tehran, iran",farsi8.mp3,farsi,female,iran,45,23,7,farsi
"tehran, iran",farsi5.mp3,farsi,male,iran,45,23,7,farsi
"abadan, iran",farsi16.mp3,farsi,female,iran,45,23,7,farsi
"esfahan, iran",farsi3.mp3,farsi,female,iran,45,23,7,farsi
"tehran, iran",farsi15.mp3,farsi,male,iran,45,23,7,farsi
"bethesda, maryland, usa",farsi14.mp3,farsi,female,usa,45,23,7,farsi
"ghasreshirin, iran",farsi13.mp3,farsi,male,iran,45,23,7,farsi
"kerman, iran",farsi12.mp3,farsi,male,iran,45,23,7,farsi
"kabul, afghanistan",farsi11.mp3,farsi,female,afghanistan,45,23,7,farsi
"tehran, iran",farsi10.mp3,farsi,female,iran,45,23,7,farsi
"tehran, iran",farsi1.mp3,farsi,male,iran,45,23,7,farsi
"hong kong, china",cantonese19.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese2.mp3,cantonese,male,china,23,23,4,cantonese
"hong kong, china",cantonese20.mp3,cantonese,male,china,23,23,4,cantonese
"hong kong, china",cantonese21.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese22.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese23.mp3,cantonese,male,china,23,23,4,cantonese
"hong kong, china",cantonese3.mp3,cantonese,male,china,23,23,4,cantonese
"esfahan, iran",farsi2.mp3,farsi,female,iran,45,23,7,farsi
"hong kong, china",cantonese5.mp3,cantonese,male,china,23,23,4,cantonese
"fuzhou, fujian, china",cantonese4.mp3,cantonese,female,china,23,23,4,cantonese
"mazare sharif, afghanistan",farsi20.mp3,farsi,female,afghanistan,45,23,7,farsi
"kabul, afghanistan",farsi21.mp3,farsi,male,afghanistan,45,23,7,farsi
"gorgan, iran",farsi17.mp3,farsi,female,iran,45,23,7,farsi
"shiraz, iran",farsi23.mp3,farsi,female,iran,45,23,7,farsi
"mazandran, iran",farsi4.mp3,farsi,female,iran,45,23,7,farsi
"tehran, iran",farsi22.mp3,farsi,female,iran,45,23,7,farsi
"hong kong, china",cantonese7.mp3,cantonese,male,china,23,23,4,cantonese
"hong kong, china",cantonese9.mp3,cantonese,male,china,23,23,4,cantonese
"hong kong, china",cantonese8.mp3,cantonese,female,china,23,23,4,cantonese
"hong kong, china",cantonese6.mp3,cantonese,male,china,23,23,4,cantonese
"skopje, macedonia",macedonian22.mp3,macedonian,female,macedonia,105,96,25,slavic
"ohrid, macedonia",macedonian1.mp3,macedonian,male,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian10.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian11.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian12.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian13.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian14.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian15.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian17.mp3,macedonian,male,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian18.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian19.mp3,macedonian,male,macedonia,105,96,25,slavic
"stip, macedonia",macedonian2.mp3,macedonian,male,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian20.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian16.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian23.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian21.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian9.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian8.mp3,macedonian,male,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian7.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian5.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian6.mp3,macedonian,male,macedonia,105,96,25,slavic
"stip, macedonia",macedonian3.mp3,macedonian,male,macedonia,105,96,25,slavic
"ohrid, macedonia",macedonian26.mp3,macedonian,male,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian25.mp3,macedonian,female,macedonia,105,96,25,slavic
"skopje, macedonia",macedonian24.mp3,macedonian,female,macedonia,105,96,25,slavic
"stip, macedonia",macedonian4.mp3,macedonian,male,macedonia,105,96,25,slavic
"tokyo, japan",japanese27.mp3,japanese,female,japan,79,27,13,japanese
"kawasaki, japan",japanese23.mp3,japanese,male,japan,79,27,13,japanese
"tokyo, japan",japanese24.mp3,japanese,female,japan,79,27,13,japanese
"kyoto, japan",japanese25.mp3,japanese,female,japan,79,27,13,japanese
"yokosuka, japan",japanese26.mp3,japanese,female,japan,79,27,13,japanese
"kofu, yamanashi prefecture, japan",japanese3.mp3,japanese,female,japan,79,27,13,japanese
"yokohama, japan",japanese9.mp3,japanese,male,japan,79,27,13,japanese
"chiba, japan",japanese5.mp3,japanese,female,japan,79,27,13,japanese
"kawasaki, japan",japanese6.mp3,japanese,female,japan,79,27,13,japanese
"osaka, japan",japanese7.mp3,japanese,male,japan,79,27,13,japanese
"tokyo, japan",japanese8.mp3,japanese,male,japan,79,27,13,japanese
"ashiya, japan",japanese22.mp3,japanese,female,japan,79,27,13,japanese
"tokyo, japan",japanese4.mp3,japanese,male,japan,79,27,13,japanese
"tokyo, japan",japanese21.mp3,japanese,female,japan,79,27,13,japanese
"yokosuka, japan",japanese20.mp3,japanese,male,japan,79,27,13,japanese
"tokyo, japan",japanese2.mp3,japanese,female,japan,79,27,13,japanese
"tokyo, japan",japanese1.mp3,japanese,female,japan,79,27,13,japanese
"hakodate, japan",japanese10.mp3,japanese,female,japan,79,27,13,japanese
"toyama, japan",japanese11.mp3,japanese,female,japan,79,27,13,japanese
"gunma, japan",japanese13.mp3,japanese,male,japan,79,27,13,japanese
"akashi, japan",japanese14.mp3,japanese,female,japan,79,27,13,japanese
"tokyo, japan",japanese12.mp3,japanese,male,japan,79,27,13,japanese
"clark field, philippines",japanese16.mp3,japanese,female,philippines,79,27,13,japanese
"nara, japan",japanese17.mp3,japanese,female,japan,79,27,13,japanese
"kyoto, japan",japanese18.mp3,japanese,female,japan,79,27,13,japanese
"naha, japan",japanese19.mp3,japanese,female,japan,79,27,13,japanese
"osaka, japan",japanese15.mp3,japanese,male,japan,79,27,13,japanese
"rome, italy",italian19.mp3,italian,male,italy,78,35,12,italian
"teramo, italy",italian22.mp3,italian,male,italy,78,35,12,italian
"trento, italy",italian21.mp3,italian,male,italy,78,35,12,italian
"naples, italy",italian20.mp3,italian,male,italy,78,35,12,italian
"caltanissetta, sicily, italy",italian2.mp3,italian,male,italy,78,35,12,italian
"grugliasco, italy",italian18.mp3,italian,male,italy,78,35,12,italian
"bellinzona, switzerland",italian12.mp3,italian,female,switzerland,78,35,12,italian
"mantua, italy",italian16.mp3,italian,male,italy,78,35,12,italian
"forli, italy",italian15.mp3,italian,male,italy,78,35,12,italian
"cosenza, italy",italian14.mp3,italian,male,italy,78,35,12,italian
"enna, italy",italian13.mp3,italian,male,italy,78,35,12,italian
"cuneo, italy",italian23.mp3,italian,female,italy,78,35,12,italian
"cagliari, italy",italian11.mp3,italian,male,italy,78,35,12,italian
"turin, italy",italian17.mp3,italian,male,italy,78,35,12,italian
"milan, italy",italian24.mp3,italian,female,italy,78,35,12,italian
"florence, italy",italian3.mp3,italian,male,italy,78,35,12,italian
"siracusa, sicily, italy",italian26.mp3,italian,male,italy,78,35,12,italian
"milan, italy",italian27.mp3,italian,female,italy,78,35,12,italian
"rome, italy",italian28.mp3,italian,male,italy,78,35,12,italian
"trieste, italy",italian29.mp3,italian,female,italy,78,35,12,italian
"carbonia, italy",italian1.mp3,italian,female,italy,78,35,12,italian
"bologna, italy",italian30.mp3,italian,male,italy,78,35,12,italian
"naples, italy",italian31.mp3,italian,female,italy,78,35,12,italian
"bitonto, italy",italian33.mp3,italian,female,italy,78,35,12,italian
"cremona, italy",italian4.mp3,italian,female,italy,78,35,12,italian
"vicenza, veneto, italy",italian5.mp3,italian,male,italy,78,35,12,italian
"naples, italy",italian6.mp3,italian,female,italy,78,35,12,italian
"naples, italy",italian7.mp3,italian,male,italy,78,35,12,italian
"bari, italy",italian8.mp3,italian,male,italy,78,35,12,italian
"turin, italy",italian9.mp3,italian,male,italy,78,35,12,italian
"wiesbaden, germany",italian25.mp3,italian,male,germany,78,35,12,italian
"palermo, italy",italian10.mp3,italian,male,italy,78,35,12,italian
"sardinia, italy",italian32.mp3,italian,male,italy,78,35,12,italian
"nowy sacz, poland",polish3.mp3,polish,female,poland,137,96,25,slavic
"wolanow, poland",polish10.mp3,polish,female,poland,137,96,25,slavic
"warsaw, poland",polish11.mp3,polish,female,poland,137,96,25,slavic
"warsaw, poland",polish12.mp3,polish,male,poland,137,96,25,slavic
"gryfino, western pomerania, poland",polish13.mp3,polish,male,poland,137,96,25,slavic
"warsaw, poland",polish14.mp3,polish,male,poland,137,96,25,slavic
"ketrzyn, poland",polish15.mp3,polish,female,poland,137,96,25,slavic
"koszalin, poland",polish16.mp3,polish,male,poland,137,96,25,slavic
"krakow, poland",polish17.mp3,polish,female,poland,137,96,25,slavic
"bialystok, poland",polish18.mp3,polish,male,poland,137,96,25,slavic
"belchatow, poland",polish19.mp3,polish,male,poland,137,96,25,slavic
"mielec, poland",polish2.mp3,polish,female,poland,137,96,25,slavic
"gdansk, poland",polish20.mp3,polish,female,poland,137,96,25,slavic
"kolobrzeg, poland",polish21.mp3,polish,male,poland,137,96,25,slavic
"koszalin, poland",polish22.mp3,polish,male,poland,137,96,25,slavic
"lobez, poland",polish23.mp3,polish,male,poland,137,96,25,slavic
"koszalin, poland",polish24.mp3,polish,female,poland,137,96,25,slavic
"koszalin, poland",polish25.mp3,polish,male,poland,137,96,25,slavic
"bytow, poland",polish26.mp3,polish,male,poland,137,96,25,slavic
"koszalin, poland",polish27.mp3,polish,male,poland,137,96,25,slavic
"koszalin, poland",polish30.mp3,polish,female,poland,137,96,25,slavic
"koszalin, poland",polish28.mp3,polish,female,poland,137,96,25,slavic
"sianow, poland",polish29.mp3,polish,male,poland,137,96,25,slavic
"ostroleka, poland",polish9.mp3,polish,female,poland,137,96,25,slavic
"trzebnica, poland",polish31.mp3,polish,female,poland,137,96,25,slavic
"torun, poland",polish32.mp3,polish,male,poland,137,96,25,slavic
"nowa ruda, poland",polish33.mp3,polish,male,poland,137,96,25,slavic
"wroclaw, poland",polish34.mp3,polish,female,poland,137,96,25,slavic
"krakow, poland",polish4.mp3,polish,female,poland,137,96,25,slavic
"ozarow maz, poland",polish5.mp3,polish,male,poland,137,96,25,slavic
"torun, poland",polish6.mp3,polish,female,poland,137,96,25,slavic
"przemet, poland",polish7.mp3,polish,male,poland,137,96,25,slavic
"otwock, poland",polish8.mp3,polish,male,poland,137,96,25,slavic
"janow, poland",polish1.mp3,polish,female,poland,137,96,25,slavic
"bremen, germany",german16.mp3,german,female,germany,58,39,9,german
"innsbruck, austria",german15.mp3,german,male,austria,58,39,9,german
"vienna, austria",german14.mp3,german,female,austria,58,39,9,german
"eschen, liechtenstein",german13.mp3,german,female,liechtenstein,58,39,9,german
"bemberg, germany",german2.mp3,german,female,germany,58,39,9,german
"frankfurt, germany",german11.mp3,german,female,germany,58,39,9,german
"darmstadt, germany",german10.mp3,german,male,germany,58,39,9,german
"dusseldorf, germany",german1.mp3,german,female,germany,58,39,9,german
"frankfurt, germany",german17.mp3,german,female,germany,58,39,9,german
"feldkirch, austria",german12.mp3,german,female,austria,58,39,9,german
"wuppertal, germany",german9.mp3,german,male,germany,58,39,9,german
"bernburg, germany",german8.mp3,german,male,germany,58,39,9,german
"berlin, germany",german7.mp3,german,male,germany,58,39,9,german
"chur, switzerland",german20.mp3,german,male,switzerland,58,39,9,german
"villach, austria",german21.mp3,german,female,austria,58,39,9,german
"elsterwerda, germany",german22.mp3,german,female,germany,58,39,9,german
"herdecke, germany",german23.mp3,german,male,germany,58,39,9,german
"niedersachsen, germany",german24.mp3,german,male,germany,58,39,9,german
"geislingen, germany",german25.mp3,german,female,germany,58,39,9,german
"stuttgart, germany",german26.mp3,german,female,germany,58,39,9,german
"bielefeld, germany",german27.mp3,german,male,germany,58,39,9,german
"vienna, austria",german28.mp3,german,female,austria,58,39,9,german
"offenbach, germany",german19.mp3,german,female,germany,58,39,9,german
"coburg, germany",german29.mp3,german,female,germany,58,39,9,german
"radstadt, austria",german30.mp3,german,female,austria,58,39,9,german
"datteln, germany",german31.mp3,german,female,germany,58,39,9,german
"niedersachsen, germany",german32.mp3,german,female,germany,58,39,9,german
"stuttgart, germany",german33.mp3,german,male,germany,58,39,9,german
"bochum, germany",german34.mp3,german,male,germany,58,39,9,german
"ingolstadt, germany",german35.mp3,german,female,germany,58,39,9,german
"hamburg, germany",german36.mp3,german,female,germany,58,39,9,german
"halle, germany",german5.mp3,german,male,germany,58,39,9,german
"vienna, austria",german6.mp3,german,male,austria,58,39,9,german
"bad aussee, austria",german18.mp3,german,male,austria,58,39,9,german
"meissen, germany",german3.mp3,german,female,germany,58,39,9,german
"stuttgart, germany",german4.mp3,german,female,germany,58,39,9,german
"ankara, turkey",turkish10.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish27.mp3,turkish,female,turkey,183,50,30,turkish
"istanbul, turkey",turkish28.mp3,turkish,female,turkey,183,50,30,turkish
"ankara, turkey",turkish29.mp3,turkish,female,turkey,183,50,30,turkish
"adana, turkey",turkish3.mp3,turkish,male,turkey,183,50,30,turkish
"izmir, turkey",turkish30.mp3,turkish,female,turkey,183,50,30,turkish
"diyarbakir, turkey",turkish31.mp3,turkish,male,turkey,183,50,30,turkish
"diyarbakir, turkey",turkish32.mp3,turkish,male,turkey,183,50,30,turkish
"diyarbakir, turkey",turkish33.mp3,turkish,male,turkey,183,50,30,turkish
"bingol, turkey",turkish1.mp3,turkish,female,turkey,183,50,30,turkish
"diyarbakir, turkey",turkish34.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish36.mp3,turkish,female,turkey,183,50,30,turkish
"panjakent, tajikistan",turkish37.mp3,turkish,male,tajikistan,183,50,30,turkish
"kayseri, turkey",turkish4.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish5.mp3,turkish,female,turkey,183,50,30,turkish
"istanbul, turkey",turkish6.mp3,turkish,male,turkey,183,50,30,turkish
"izmir, turkey",turkish7.mp3,turkish,male,turkey,183,50,30,turkish
"sivas, turkey",turkish8.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish9.mp3,turkish,male,turkey,183,50,30,turkish
"izmir, turkey",turkish35.mp3,turkish,female,turkey,183,50,30,turkish
"sivas, turkey",turkish26.mp3,turkish,male,turkey,183,50,30,turkish
"kars, turkey",turkish16.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish14.mp3,turkish,female,turkey,183,50,30,turkish
"kars, turkey",turkish25.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish24.mp3,turkish,male,turkey,183,50,30,turkish
"adana, turkey",turkish23.mp3,turkish,female,turkey,183,50,30,turkish
"istanbul, turkey",turkish22.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish21.mp3,turkish,female,turkey,183,50,30,turkish
"kocaeli, turkey",turkish20.mp3,turkish,female,turkey,183,50,30,turkish
"ankara, turkey",turkish2.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish19.mp3,turkish,male,turkey,183,50,30,turkish
"stuttgart, germany",turkish18.mp3,turkish,male,germany,183,50,30,turkish
"kocaeli, turkey",turkish11.mp3,turkish,female,turkey,183,50,30,turkish
"giresun, turkey",turkish12.mp3,turkish,male,turkey,183,50,30,turkish
"istanbul, turkey",turkish13.mp3,turkish,female,turkey,183,50,30,turkish
"ankara, turkey",turkish17.mp3,turkish,male,turkey,183,50,30,turkish
"ankara, turkey",turkish15.mp3,turkish,male,turkey,183,50,30,turkish
"alphen aan de ryn, netherlands",dutch8.mp3,dutch,female,netherlands,36,47,5,dutch
"rotterdam, netherlands",dutch5.mp3,dutch,female,netherlands,36,47,5,dutch
"heist-op-den-berg, belgium",dutch19.mp3,dutch,female,belgium,36,47,5,dutch
"antwerp, belgium",dutch18.mp3,dutch,male,belgium,36,47,5,dutch
"wilrijk, belgium",dutch17.mp3,dutch,female,belgium,36,47,5,dutch
"antwerp, belgium",dutch16.mp3,dutch,female,belgium,36,47,5,dutch
"nunspeet, netherlands",dutch15.mp3,dutch,male,netherlands,36,47,5,dutch
"zwolle, netherlands",dutch14.mp3,dutch,female,netherlands,36,47,5,dutch
"zwolle, netherlands",dutch13.mp3,dutch,female,netherlands,36,47,5,dutch
"oosterbeek, netherlands",dutch12.mp3,dutch,male,netherlands,36,47,5,dutch
"brugge, belgium",dutch11.mp3,dutch,male,belgium,36,47,5,dutch
"essen, belgium",dutch10.mp3,dutch,male,belgium,36,47,5,dutch
"nijmegen, netherlands",dutch1.mp3,dutch,male,netherlands,36,47,5,dutch
"almelo, netherlands",dutch9.mp3,dutch,female,netherlands,36,47,5,dutch
"amsterdam, netherlands",dutch7.mp3,dutch,male,netherlands,36,47,5,dutch
"amsterdam, netherlands",dutch2.mp3,dutch,male,netherlands,36,47,5,dutch
"vlaams-brabant, belgium",dutch20.mp3,dutch,female,belgium,36,47,5,dutch
"hulshout, belgium",dutch46.mp3,dutch,female,belgium,36,47,5,dutch
"sint niklaas, belgium",dutch45.mp3,dutch,male,belgium,36,47,5,dutch
"antwerp, belgium",dutch44.mp3,dutch,female,belgium,36,47,5,dutch
"rotterdam, netherlands",dutch43.mp3,dutch,male,netherlands,36,47,5,dutch
"schiedam, netherlands",dutch42.mp3,dutch,male,netherlands,36,47,5,dutch
"deventer, netherlands",dutch41.mp3,dutch,male,netherlands,36,47,5,dutch
"dordrecht, netherlands",dutch40.mp3,dutch,male,netherlands,36,47,5,dutch
"bilzen, flanders, belgium",dutch4.mp3,dutch,male,belgium,36,47,5,dutch
"hardinxveld-giessendam, netherlands",dutch39.mp3,dutch,female,netherlands,36,47,5,dutch
"beveren, belgium",dutch38.mp3,dutch,female,belgium,36,47,5,dutch
"antwerp, belgium",dutch37.mp3,dutch,female,belgium,36,47,5,dutch
"turnhout, belgium",dutch36.mp3,dutch,female,belgium,36,47,5,dutch
"mortsel, belgium",dutch35.mp3,dutch,female,belgium,36,47,5,dutch
"gouda, netherlands",dutch47.mp3,dutch,female,netherlands,36,47,5,dutch
"bornem, belgium",dutch34.mp3,dutch,female,belgium,36,47,5,dutch
"brasschaat, belgium",dutch32.mp3,dutch,male,belgium,36,47,5,dutch
"antwerp, belgium",dutch31.mp3,dutch,female,belgium,36,47,5,dutch
"sint-niklaas, belgium",dutch30.mp3,dutch,female,belgium,36,47,5,dutch
"brussels, belgium",dutch6.mp3,dutch,female,belgium,36,47,5,dutch
"ede, netherlands",dutch29.mp3,dutch,male,netherlands,36,47,5,dutch
"antwerp, belgium",dutch28.mp3,dutch,male,belgium,36,47,5,dutch
"antwerp, belgium",dutch27.mp3,dutch,female,belgium,36,47,5,dutch
"turnhout, belgium",dutch26.mp3,dutch,female,belgium,36,47,5,dutch
"wilrijk, belgium",dutch25.mp3,dutch,female,belgium,36,47,5,dutch
"seoul, south korea",dutch24.mp3,dutch,female,south korea,36,47,5,dutch
"antwerp, belgium",dutch23.mp3,dutch,male,belgium,36,47,5,dutch
"essen, belgium",dutch22.mp3,dutch,female,belgium,36,47,5,dutch
"diest, belgium",dutch21.mp3,dutch,female,belgium,36,47,5,dutch
"mechelen, belgium",dutch33.mp3,dutch,female,belgium,36,47,5,dutch
"alkmaar, netherlands",dutch3.mp3,dutch,male,netherlands,36,47,5,dutch
"rio de janeiro, brazil",portuguese25.mp3,portuguese,female,brazil,138,48,20,portuguese
"novo hamburgo, rio grande do sul, brazil",portuguese10.mp3,portuguese,male,brazil,138,48,20,portuguese
"sochi, russia",russian24.mp3,russian,female,russia,145,59,23,russian
"zaporizhzhya, ukraine",russian23.mp3,russian,female,ukraine,145,59,23,russian
"riga, latvia",russian22.mp3,russian,male,latvia,145,59,23,russian
"moscow, russia",russian21.mp3,russian,female,russia,145,59,23,russian
"kostanai, kazakhstan",russian20.mp3,russian,female,kazakhstan,145,59,23,russian
"izmail, ukraine",russian2.mp3,russian,female,ukraine,145,59,23,russian
"zhezkazgan, kazakhstan",russian19.mp3,russian,male,kazakhstan,145,59,23,russian
"komsomolsk-on-amur, russia",russian18.mp3,russian,male,russia,145,59,23,russian
"pskov, russia",russian17.mp3,russian,male,russia,145,59,23,russian
"minsk, belarus",russian16.mp3,russian,male,belarus,145,59,23,russian
"ayaguz, kazakhstan",russian15.mp3,russian,female,kazakhstan,145,59,23,russian
"pskov, russia",russian14.mp3,russian,male,russia,145,59,23,russian
"moscow, russia",russian13.mp3,russian,male,russia,145,59,23,russian
"st. petersburg, russia",russian12.mp3,russian,male,russia,145,59,23,russian
"ola magadan, russia",russian11.mp3,russian,male,russia,145,59,23,russian
"moscow, russia",russian10.mp3,russian,female,russia,145,59,23,russian
"nizhni novgorod, russia",russian1.mp3,russian,male,russia,145,59,23,russian
"khabarovsk, russia",russian5.mp3,russian,female,russia,145,59,23,russian
"moscow, russia",russian6.mp3,russian,female,russia,145,59,23,russian
"orhei, moldova",russian25.mp3,russian,female,moldova,145,59,23,russian
"chisinau, moldova",russian26.mp3,russian,female,moldova,145,59,23,russian
"moscow, russia",russian27.mp3,russian,male,russia,145,59,23,russian
"minsk, belarus",russian28.mp3,russian,female,belarus,145,59,23,russian
"perm, russia",russian46.mp3,russian,female,russia,145,59,23,russian
"st. petersburg, russia",russian45.mp3,russian,female,russia,145,59,23,russian
"penza, russia",russian44.mp3,russian,female,russia,145,59,23,russian
"st. petersburg, russia",russian43.mp3,russian,female,russia,145,59,23,russian
"moscow, russia",russian42.mp3,russian,female,russia,145,59,23,russian
"nizhni novgorod, russia",russian41.mp3,russian,female,russia,145,59,23,russian
"bishkek, kyrgyzstan",russian40.mp3,russian,female,kyrgyzstan,145,59,23,russian
"moscow, russia",russian4.mp3,russian,female,russia,145,59,23,russian
"brooklyn, new york, usa",russian39.mp3,russian,female,usa,145,59,23,russian
"kiev, ukraine",russian7.mp3,russian,female,ukraine,145,59,23,russian
"gomel, belarus",russian38.mp3,russian,male,belarus,145,59,23,russian
"moscow, russia",russian36.mp3,russian,male,russia,145,59,23,russian
"dresden, germany",russian35.mp3,russian,male,germany,145,59,23,russian
"vladivostok, russia",russian34.mp3,russian,male,russia,145,59,23,russian
"karaganda, kazakhstan",russian33.mp3,russian,female,kazakhstan,145,59,23,russian
"kiev, ukraine",russian32.mp3,russian,female,ukraine,145,59,23,russian
"tallinn, estonia",russian31.mp3,russian,male,estonia,145,59,23,russian
"stavropol, russia",russian30.mp3,russian,male,russia,145,59,23,russian
"zaporizhzhya, ukraine",russian3.mp3,russian,female,ukraine,145,59,23,russian
"chisinau, moldova",russian29.mp3,russian,male,moldova,145,59,23,russian
"st. petersburg, russia",russian37.mp3,russian,male,russia,145,59,23,russian
"moscow, russia",russian8.mp3,russian,male,russia,145,59,23,russian
"moscow, russia",russian9.mp3,russian,male,russia,145,59,23,russian
"sao paulo, brazil",portuguese9.mp3,portuguese,male,brazil,138,48,20,portuguese
"blumenau, brazil",portuguese3.mp3,portuguese,female,brazil,138,48,20,portuguese
"vitoria, brazil",portuguese29.mp3,portuguese,male,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese28.mp3,portuguese,female,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese27.mp3,portuguese,female,brazil,138,48,20,portuguese
"campo grande, brazil",portuguese26.mp3,portuguese,female,brazil,138,48,20,portuguese
"santos, brazil",portuguese24.mp3,portuguese,female,brazil,138,48,20,portuguese
"curitiba, brazil",portuguese23.mp3,portuguese,female,brazil,138,48,20,portuguese
"luanda, angola",portuguese22.mp3,portuguese,female,angola,138,48,20,portuguese
"sao paulo, brazil",portuguese21.mp3,portuguese,male,brazil,138,48,20,portuguese
"juiz de fora, brazil",portuguese30.mp3,portuguese,female,brazil,138,48,20,portuguese
"campinas, brazil",portuguese20.mp3,portuguese,male,brazil,138,48,20,portuguese
"florianopolis, brazil",portuguese19.mp3,portuguese,male,brazil,138,48,20,portuguese
"almada, portugal",portuguese18.mp3,portuguese,female,portugal,138,48,20,portuguese
"salinas, brazil",portuguese17.mp3,portuguese,male,brazil,138,48,20,portuguese
"porto alegre, brazil",portuguese16.mp3,portuguese,male,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese15.mp3,portuguese,male,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese14.mp3,portuguese,male,brazil,138,48,20,portuguese
"santa maria, rio grande do sul, brazil",portuguese13.mp3,portuguese,male,brazil,138,48,20,portuguese
"lisbon, portugal",portuguese12.mp3,portuguese,male,portugal,138,48,20,portuguese
"sao paulo, brazil",portuguese11.mp3,portuguese,female,brazil,138,48,20,portuguese
"brasilia, brazil",portuguese2.mp3,portuguese,female,brazil,138,48,20,portuguese
"bahia, brazil",portuguese1.mp3,portuguese,female,brazil,138,48,20,portuguese
"belo horizonte, brazil",portuguese31.mp3,portuguese,male,brazil,138,48,20,portuguese
"brasilia, brazil",portuguese33.mp3,portuguese,male,brazil,138,48,20,portuguese
"fortaleza, brazil",portuguese8.mp3,portuguese,male,brazil,138,48,20,portuguese
